WARNING: empty or missing file
+
   $sepallength     $sepalwidth    $petallength     $petalwidth          =class            $_XX            $_yy             _ZZ    #      notes
           5.84            3.05            3.76            1.20               1            0.38            0.11               0    #   expected
           0.83            0.43            1.76            0.76            0.33            0.24            0.06            1.00    # certainity
            6.0             2.2             4.0             1.0               2  0.402282276433  0.131342128769               0    #
            6.1             2.9             4.7             1.4               2  0.477087301329 0.0418224635028               0    #
            5.6             2.9             3.6             1.3               2  0.370301200012 0.0574271362004               0    #
            6.7             3.1             4.4             1.4               2  0.505410198618 0.0875593164324               0    #
            5.6             3.0             4.5             1.5               2  0.436738606129 0.0997559590651               0    #
            5.8             2.7             4.1             1.0               2  0.380925090308 0.0446983687917               0    #
            6.2             2.2             4.5             1.5               2  0.501226388235  0.119493847671               0    #
            5.6             2.5             3.9             1.1               2  0.370717423744 0.0756837079517               0    #
            5.9             3.2             4.8             1.8               2  0.506198813208  0.136510249452               0    #
            6.1             2.8             4.0             1.3               2  0.432306478938 0.0157009251106               0    #
            6.3             2.5             4.9             1.5               2   0.52304362898 0.0566728397206               0    #
            6.1             2.8             4.7             1.2               2  0.456058677161 0.0429027523226               0    #
            6.4             2.9             4.3             1.3               2  0.469172318557 0.0377210931195               0    #
            6.6             3.0             4.4             1.4               2  0.499568913907 0.0635343824808               0    #
            6.8             2.8             4.8             1.4               2  0.539844613863 0.0503716407255               0    #
            6.7             3.0             5.0             1.7               2  0.572482812212 0.0610039718058               0    #
            6.0             2.9             4.5             1.5               2   0.47061805706 0.0528458174771               0    #
            5.7             2.6             3.5             1.0               2  0.344811284297 0.0488050282671               0    #
            5.5             2.4             3.8             1.1               2  0.359830718816 0.0984024697095               0    #
            5.5             2.4             3.7             1.0               2  0.343219555306 0.0964812140479               0    #
            5.8             2.7             3.9             1.2               2   0.39396573646 0.0303815347826               0    #
            6.0             2.7             5.1             1.6               2  0.516662046485 0.0726689742434               0    #
            5.4             3.0             4.5             1.5               2  0.420850311871  0.119656248083               0    #
            6.0             3.4             4.5             1.6               2  0.471669488269  0.144565384941               0    #
            6.7             3.1             4.7             1.5               2   0.53211220256 0.0809189277208               0    #
            6.3             2.3             4.4             1.3               2  0.478890766146  0.099003835891               0    #
            5.6             3.0             4.1             1.3               2  0.393425438678 0.0703798430745               0    #
            5.5             2.5             4.0             1.3               2  0.390950183417 0.0931972486096               0    #
            5.5             2.6             4.4             1.2               2  0.397463258573 0.0864454548783               0    #
            6.1             3.0             4.6             1.4               2  0.469939018696 0.0546405822636               0    #
            5.8             2.6             4.0             1.2               2  0.401114019093 0.0486973115189               0    #
            5.0             2.3             3.3             1.0               2  0.285420001214  0.138460516058               0    #
            5.6             2.7             4.2             1.3               2  0.404779446145 0.0646349180883               0    #
            5.7             3.0             4.2             1.2               2   0.39484926273 0.0586308595475               0    #
            5.7             2.9             4.2             1.3               2   0.40851786844 0.0536034974051               0    #
            6.2             2.9             4.3             1.3               2    0.4532840243 0.0254369961456               0    #
            5.1             2.5             3.0             1.1               2  0.285587906152  0.104714616567               0    #
            5.7             2.8             4.1             1.3               2   0.40557531064 0.0467975375377               0    #
            6.3             3.3             6.0             2.5               3  0.677377784952  0.211334168028               0    #
            5.8             2.7             5.1             1.9               3  0.535470982106  0.126942292053               0    #
            7.1             3.0             5.9             2.1               3  0.695931155845 0.0774284797414               0    #
            6.3             2.9             5.6             1.8               3  0.584647350705 0.0815374270942               0    #
            6.5             3.0             5.8             2.2               3  0.654786596149  0.121127515675               0    #
            7.6             3.0             6.6             2.1               3  0.770969833004 0.0808506564853               0    #
            4.9             2.5             4.5             1.7               3  0.414775374897  0.199724172537               0    #
            7.3             2.9             6.3             1.8               3  0.699406763507 0.0671296426122               0    #
            6.7             2.5             5.8             1.8               3   0.63492622932 0.0539577082637               0    #
            7.2             3.6             6.1             2.5               3  0.747611942076  0.220175821886               0    #
            6.5             3.2             5.1             2.0               3  0.592131443215  0.126783977119               0    #
            6.4             2.7             5.3             1.9               3  0.593226705311 0.0661096278596               0    #
            6.8             3.0             5.5             2.1               3  0.651917033593 0.0906589419219               0    #
            5.7             2.5             5.0             2.0               3  0.538252882887  0.157680151775               0    #
            5.8             2.8             5.1             2.4               3  0.591196836152  0.200338132753               0    #
            6.4             3.2             5.3             2.3               3  0.628975366397  0.167190595444               0    #
            6.5             3.0             5.5             1.8               3  0.593387362329  0.075697746237               0    #
            7.7             3.8             6.7             2.2               3  0.778702244307  0.247028881984               0    #
            7.7             2.6             6.9             2.3               3  0.825593177034 0.000908621443189               0    #
            6.0             2.2             5.0             1.5               3   0.51056519506  0.130975937362               0    #
            6.9             3.2             5.7             2.3               3  0.688877782906  0.140078498111               0    #
            5.6             2.8             4.9             2.0               3  0.518954728291  0.159412203562               0    #
            7.7             2.8             6.7             2.0               3   0.77659938189 0.0594135510285               0    #
            6.3             2.7             4.9             1.8               3  0.553535134024 0.0616882491527               0    #
            6.7             3.3             5.7             2.1               3  0.647755139647  0.144946716084               0    #
            7.2             3.2             6.0             1.8               3  0.670017768479  0.113632403888               0    #
            6.2             2.8             4.8             1.8               3  0.538442704262 0.0721551760487               0    #
            6.1             3.0             4.9             1.8               3  0.531338252516 0.0965375751113               0    #
            6.4             2.8             5.6             2.1               3  0.629391590128 0.0985657937662               0    #
            7.2             3.0             5.8             1.6               3  0.641001166294 0.0874677717016               0    #
            7.4             2.8             6.1             1.9               3  0.710928675913 0.0431936857423               0    #
            7.9             3.8             6.4             2.0               3   0.75632279133  0.253329056943               0    #
            6.4             2.8             5.6             2.2               3  0.640957333421  0.113215827361               0    #
            6.3             2.8             5.1             1.5               3  0.526825882162 0.0364696121861               0    #
            6.1             2.6             5.6             1.4               3  0.528804670528 0.0926989279861               0    #
            7.7             3.0             6.1             2.3               3  0.776818365635 0.0957213135969               0    #
            6.3             3.4             5.6             2.4               3  0.643527498376  0.212156333036               0    #
            6.4             3.1             5.5             1.8               3  0.583340352784  0.098448049689               0    #
            6.0             3.0             4.8             1.8               3  0.518348685171  0.104002676414               0    #
            6.9             3.1             5.4             2.1               3  0.652712898088  0.105851409717               0    #
            6.7             3.1             5.6             2.4               3  0.681612674142  0.148264333328               0    #
            6.9             3.1             5.1             2.3               3  0.660708124024  0.138848700818               0    #
            5.8             2.7             5.1             1.9               3             0.0             0.0               0    #
            6.8             3.2             5.9             2.3               3   0.69102447621  0.142561085497               0    #
            6.7             3.3             5.7             2.5               3  0.694018112817  0.187946835694               0    #
            6.7             3.0             5.2             2.3               3    0.6519681124  0.129787945669               0    #
            6.3             2.5             5.0             1.9               3  0.574352022366 0.0893967215818               0    #
            6.5             3.0             5.2             2.0               3  0.601382588265 0.0954672097997               0    #
            6.2             3.4             5.4             2.3               3  0.613926767522  0.206246050376               0    #
            5.9             3.0             5.1             1.8               3  0.525540798691  0.116331871851               0    #
